date,Major Incident Type,Incident Count
27/05/2010,False Alarm,32
29/08/2010,Fire,9
07/09/2010,Fire,2
16/10/2010,Fire,6
22/12/2010,False Alarm,32
23/04/2011,Fire,13
22/05/2011,Fire,10
07/09/2011,Fire,6
15/09/2011,Public Service Assistance,10
16/09/2011,False Alarm,19
16/09/2011,Hazardous Condition,35
16/09/2011,Investigation,17
16/09/2011,Medical/Rescue,83
16/09/2011,Public Service Assistance,7
17/09/2011,False Alarm,18
17/09/2011,Fire,6
17/09/2011,Hazardous Condition,18
17/09/2011,Investigation,10
17/09/2011,Medical/Rescue,75
17/09/2011,Public Service Assistance,9
18/09/2011,Fire,4
18/09/2011,Hazardous Condition,18
18/09/2011,Investigation,9
18/09/2011,Medical/Rescue,62
18/09/2011,Public Service Assistance,11
19/09/2011,False Alarm,25
19/09/2011,Fire,2
19/09/2011,Hazardous Condition,25
19/09/2011,Investigation,10
19/09/2011,Medical/Rescue,65
19/09/2011,Public Service Assistance,10
20/09/2011,False Alarm,20
20/09/2011,Fire,8
20/09/2011,Hazardous Condition,22
20/09/2011,Medical/Rescue,70
20/09/2011,Public Service Assistance,8
21/09/2011,False Alarm,16
21/09/2011,Fire,6
21/09/2011,Hazardous Condition,30
21/09/2011,Investigation,14
21/09/2011,Medical/Rescue,64
21/09/2011,Public Service Assistance,7
22/09/2011,False Alarm,16
22/09/2011,Hazardous Condition,23
22/09/2011,Investigation,15
22/09/2011,Medical/Rescue,75
22/09/2011,Public Service Assistance,4
23/09/2011,False Alarm,22
23/09/2011,Hazardous Condition,24
23/09/2011,Investigation,17
23/09/2011,Medical/Rescue,69
23/09/2011,Public Service Assistance,10
24/09/2011,False Alarm,24
24/09/2011,Hazardous Condition,30
24/09/2011,Medical/Rescue,91
02/01/2010,Public Service Assistance,8
30/05/2010,Fire,6
21/09/2010,Hazardous Condition,20
29/03/2011,Fire,6
03/05/2011,Fire,11
11/06/2011,Public Service Assistance,9
19/08/2011,Medical/Rescue,62
24/09/2011,Public Service Assistance,15
25/09/2011,False Alarm,19
25/09/2011,Fire,2
25/09/2011,Hazardous Condition,21
25/09/2011,Investigation,14
25/09/2011,Medical/Rescue,75
25/09/2011,Public Service Assistance,13
26/09/2011,False Alarm,18
26/09/2011,Hazardous Condition,25
26/09/2011,Investigation,13
26/09/2011,Medical/Rescue,63
26/09/2011,Public Service Assistance,12
27/09/2011,False Alarm,19
27/09/2011,Investigation,16
27/09/2011,Medical/Rescue,80
27/09/2011,Public Service Assistance,6
28/09/2011,False Alarm,30
28/09/2011,Hazardous Condition,11
28/09/2011,Investigation,12
28/09/2011,Public Service Assistance,11
29/09/2011,False Alarm,31
29/09/2011,Hazardous Condition,20
29/09/2011,Investigation,15
29/09/2011,Medical/Rescue,67
29/09/2011,Public Service Assistance,1
30/09/2011,False Alarm,30
30/09/2011,Fire,3
30/09/2011,Hazardous Condition,26
30/09/2011,Investigation,21
30/09/2011,Public Service Assistance,8
30/09/2011,Severe Weather,1
01/10/2011,False Alarm,26
01/10/2011,Hazardous Condition,24
01/10/2011,Investigation,18
01/10/2011,Medical/Rescue,60
01/10/2011,Public Service Assistance,7
02/10/2011,Hazardous Condition,21
02/10/2011,Medical/Rescue,81
02/10/2011,Public Service Assistance,4
03/10/2011,Fire,7
03/10/2011,Investigation,9
03/10/2011,Medical/Rescue,75
03/10/2011,Public Service Assistance,8
04/10/2011,False Alarm,22
04/10/2011,Fire,5
04/10/2011,Hazardous Condition,21
03/01/2010,False Alarm,16
09/04/2010,Fire,3
26/04/2010,Medical/Rescue,74
05/06/2010,False Alarm,21
21/06/2010,False Alarm,18
21/12/2010,Medical/Rescue,69
08/02/2011,Hazardous Condition,25
03/05/2011,Hazardous Condition,14
