name,comm_code,census_year,population,occupied dwellings,persons per unit
HUNTINGTON HILLS,HUN,04/01/1996 12:00:00 AM,14595,5100,2.86
HARVEST HILLS,HAR,04/01/1969 12:00:00 AM,0,0,0
ROYAL OAK,ROY,04/01/2009 12:00:00 AM,10423,3588,2.9
MAHOGANY,MAH,04/01/2000 12:00:00 AM,0,0,0
FOREST HEIGHTS,FHT,04/01/1990 12:00:00 AM,6854,2005,3.42
POINT MCKAY,POI,04/01/1975 12:00:00 AM,0,0,0
NEW BRIGHTON,NEB,04/01/1979 12:00:00 AM,0,0,0
WOODLANDS,WOO,04/01/2008 12:00:00 AM,6386,2294,2.78
STRATHCONA PARK,STR,04/01/2010 12:00:00 AM,7122,2378,2.99
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1989 12:00:00 AM,3464,1504,2.3
ERLTON,ERL,04/01/2005 12:00:00 AM,1263,719,1.76
RED CARPET,RED,04/01/2004 12:00:00 AM,1765,880,2.01
CHRISTIE PARK,CHR,04/01/1986 12:00:00 AM,19,7,2.71
TARADALE,TAR,04/01/2017 12:00:00 AM,18925,4796,3.95
BANFF TRAIL,BNF,04/01/1979 12:00:00 AM,3570,1445,2.47
BRITANNIA,BRT,04/01/1996 12:00:00 AM,757,296,2.56
CRANSTON,CRA,04/01/2006 12:00:00 AM,5225,1887,2.77
RIVERBEND,RIV,04/01/1987 12:00:00 AM,1565,510,3.07
ARBOUR LAKE,ARB,04/01/2004 12:00:00 AM,10312,3620,2.85
BAYVIEW,BYV,04/01/1996 12:00:00 AM,686,241,2.85
HAMPTONS,HAM,04/01/1994 12:00:00 AM,1624,483,3.36
CORAL SPRINGS,COR,04/01/2011 12:00:00 AM,5838,1466,3.98
SPRINGBANK HILL,SPH,04/01/2015 12:00:00 AM,9874,3224,3.06
MAYLAND HEIGHTS,MAL,04/01/1978 12:00:00 AM,5710,1683,3.39
NORTH HAVEN,NHV,04/01/1997 12:00:00 AM,2442,939,2.6
WOODLANDS,WOO,04/01/2009 12:00:00 AM,6354,2323,2.74
NEW BRIGHTON,NEB,04/01/1986 12:00:00 AM,0,0,0
APPLEWOOD PARK,APP,04/01/1972 12:00:00 AM,0,0,0
EVANSTON,EVN,04/01/1979 12:00:00 AM,7,3,2.33
ST. ANDREWS HEIGHTS,STA,04/01/1986 12:00:00 AM,2133,709,3.01
GARRISON GREEN,GAG,04/01/2009 12:00:00 AM,1402,651,2.15
COPPERFIELD,CPF,04/01/1979 12:00:00 AM,0,0,0
SOUTHWOOD,SOW,04/01/1993 12:00:00 AM,6755,2536,2.66
RUNDLE,RUN,04/01/1977 12:00:00 AM,5837,1702,3.43
DOVER,DOV,04/01/1993 12:00:00 AM,11353,3765,3.02
CHRISTIE PARK,CHR,04/01/2004 12:00:00 AM,2272,718,3.16
GARRISON WOODS,GAW,04/01/1998 12:00:00 AM,0,0,0
