DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018 12:00:00 AM,SET,SETON,CATS,0
04/01/2018 12:00:00 AM,SET,SETON,DOGS,0
04/01/2018 12:00:00 AM,WAL,WALDEN,CATS,99
04/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,338
05/01/2018 12:00:00 AM,SET,SETON,CATS,0
05/01/2018 12:00:00 AM,SET,SETON,DOGS,0
05/01/2018 12:00:00 AM,WAL,WALDEN,CATS,101
05/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,343
06/01/2018 12:00:00 AM,SET,SETON,CATS,2
06/01/2018 12:00:00 AM,SET,SETON,DOGS,1
06/01/2018 12:00:00 AM,WAL,WALDEN,CATS,102
06/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,347
07/01/2018 12:00:00 AM,SET,SETON,CATS,2
07/01/2018 12:00:00 AM,SET,SETON,DOGS,3
07/01/2018 12:00:00 AM,WAL,WALDEN,CATS,107
07/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,357
08/01/2018 12:00:00 AM,SET,SETON,CATS,2
08/01/2018 12:00:00 AM,SET,SETON,DOGS,3
08/01/2018 12:00:00 AM,WAL,WALDEN,CATS,107
08/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,359
09/01/2018 12:00:00 AM,SET,SETON,CATS,2
09/01/2018 12:00:00 AM,SET,SETON,DOGS,3
09/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,355
10/01/2018 12:00:00 AM,SET,SETON,DOGS,8
10/01/2018 12:00:00 AM,WAL,WALDEN,CATS,113
10/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,365
11/01/2018 12:00:00 AM,SET,SETON,CATS,2
11/01/2018 12:00:00 AM,SET,SETON,DOGS,8
11/01/2018 12:00:00 AM,WAL,WALDEN,CATS,115
11/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,365
12/01/2018 12:00:00 AM,SET,SETON,CATS,2
12/01/2018 12:00:00 AM,SET,SETON,DOGS,10
12/01/2018 12:00:00 AM,WAL,WALDEN,CATS,114
12/01/2018 12:00:00 AM,WAL,WALDEN,DOGS,380
01/01/2019 12:00:00 AM,SET,SETON,CATS,2
01/01/2019 12:00:00 AM,SET,SETON,DOGS,10
01/01/2019 12:00:00 AM,WAL,WALDEN,CATS,114
01/01/2019 12:00:00 AM,WAL,WALDEN,DOGS,380
02/01/2019 12:00:00 AM,ABB,ABBEYDALE,CATS,220
02/01/2019 12:00:00 AM,ABB,ABBEYDALE,DOGS,502
02/01/2019 12:00:00 AM,ACA,ACADIA,CATS,467
02/01/2019 12:00:00 AM,ACA,ACADIA,DOGS,857
02/01/2019 12:00:00 AM,ALB,ALBERT PARK/RADISSON HEIGHTS,CATS,205
02/01/2019 12:00:00 AM,ALB,ALBERT PARK/RADISSON HEIGHTS,DOGS,309
02/01/2019 12:00:00 AM,ALT,ALTADORE,CATS,197
02/01/2019 12:00:00 AM,ALT,ALTADORE,DOGS,794
02/01/2019 12:00:00 AM,AYB,ALYTH/BONNYBROOK,CATS,11
02/01/2019 12:00:00 AM,AYB,ALYTH/BONNYBROOK,DOGS,2
02/01/2019 12:00:00 AM,APP,APPLEWOOD PARK,CATS,132
02/01/2019 12:00:00 AM,APP,APPLEWOOD PARK,DOGS,284
02/01/2019 12:00:00 AM,ARB,ARBOUR LAKE,CATS,283
02/01/2019 12:00:00 AM,ARB,ARBOUR LAKE,DOGS,710
02/01/2019 12:00:00 AM,ASP,ASPEN WOODS,CATS,104
02/01/2019 12:00:00 AM,ASP,ASPEN WOODS,DOGS,548
02/01/2019 12:00:00 AM,AUB,AUBURN BAY,CATS,376
02/01/2019 12:00:00 AM,AUB,AUBURN BAY,DOGS,1418
02/01/2019 12:00:00 AM,ABP,AURORA BUSINESS PARK,CATS,0
02/01/2019 12:00:00 AM,ABP,AURORA BUSINESS PARK,DOGS,0
02/01/2019 12:00:00 AM,BNF,BANFF TRAIL,CATS,91
02/01/2019 12:00:00 AM,BNF,BANFF TRAIL,DOGS,226
02/01/2019 12:00:00 AM,BNK,BANKVIEW,CATS,199
02/01/2019 12:00:00 AM,BNK,BANKVIEW,DOGS,316
02/01/2019 12:00:00 AM,BYV,BAYVIEW,CATS,17
02/01/2019 12:00:00 AM,BYV,BAYVIEW,DOGS,81
02/01/2019 12:00:00 AM,BED,BEDDINGTON HEIGHTS,CATS,401
02/01/2019 12:00:00 AM,BED,BEDDINGTON HEIGHTS,DOGS,1035
02/01/2019 12:00:00 AM,BEL,BEL-AIRE,CATS,4
02/01/2019 12:00:00 AM,BEL,BEL-AIRE,DOGS,55
02/01/2019 12:00:00 AM,BLN,BELTLINE,CATS,592
02/01/2019 12:00:00 AM,BLN,BELTLINE,DOGS,955
02/01/2019 12:00:00 AM,BDO,BONAVISTA DOWNS,CATS,51
02/01/2019 12:00:00 AM,BDO,BONAVISTA DOWNS,DOGS,152
02/01/2019 12:00:00 AM,BOW,BOWNESS,CATS,552
02/01/2019 12:00:00 AM,BOW,BOWNESS,DOGS,1266
02/01/2019 12:00:00 AM,BRA,BRAESIDE,CATS,295
02/01/2019 12:00:00 AM,BRA,BRAESIDE,DOGS,611
02/01/2019 12:00:00 AM,BRE,BRENTWOOD,CATS,387
02/01/2019 12:00:00 AM,BRE,BRENTWOOD,DOGS,807
02/01/2019 12:00:00 AM,BRD,BRIDGELAND/RIVERSIDE,CATS,184
02/01/2019 12:00:00 AM,BRD,BRIDGELAND/RIVERSIDE,DOGS,405
02/01/2019 12:00:00 AM,BRI,BRIDLEWOOD,CATS,290
02/01/2019 12:00:00 AM,BRI,BRIDLEWOOD,DOGS,779
02/01/2019 12:00:00 AM,BRT,BRITANNIA,CATS,15
02/01/2019 12:00:00 AM,BRT,BRITANNIA,DOGS,102
02/01/2019 12:00:00 AM,BUR,BURNS INDUSTRIAL,CATS,0
02/01/2019 12:00:00 AM,BUR,BURNS INDUSTRIAL,DOGS,2
02/01/2019 12:00:00 AM,CIA,CALGARY INTERNATIONAL AIRPORT,CATS,0
02/01/2019 12:00:00 AM,CIA,CALGARY INTERNATIONAL AIRPORT,DOGS,0
02/01/2019 12:00:00 AM,CAM,CAMBRIAN HEIGHTS,CATS,66
02/01/2019 12:00:00 AM,CAM,CAMBRIAN HEIGHTS,DOGS,220
02/01/2019 12:00:00 AM,CAN,CANYON MEADOWS,CATS,350
02/01/2019 12:00:00 AM,CAN,CANYON MEADOWS,DOGS,807
02/01/2019 12:00:00 AM,CAP,CAPITOL HILL,CATS,134
02/01/2019 12:00:00 AM,CAP,CAPITOL HILL,DOGS,270
02/01/2019 12:00:00 AM,CAS,CASTLERIDGE,CATS,102
02/01/2019 12:00:00 AM,CAS,CASTLERIDGE,DOGS,298
02/01/2019 12:00:00 AM,CED,CEDARBRAE,CATS,301
02/01/2019 12:00:00 AM,CED,CEDARBRAE,DOGS,616
02/01/2019 12:00:00 AM,CHA,CHAPARRAL,CATS,346
02/01/2019 12:00:00 AM,CHA,CHAPARRAL,DOGS,1408
02/01/2019 12:00:00 AM,CHW,CHARLESWOOD,CATS,139
02/01/2019 12:00:00 AM,CHW,CHARLESWOOD,DOGS,334
02/01/2019 12:00:00 AM,CHN,CHINATOWN,CATS,3
02/01/2019 12:00:00 AM,CHN,CHINATOWN,DOGS,19
02/01/2019 12:00:00 AM,CHK,CHINOOK PARK,CATS,43
