date,Metered households,Unmetered households,Metered consumption,Unmetered consumption,Consumption per capita,Daily consumption per capita
01/31/2010 12:00:00 AM,257760,51537,4569785000,1370536601,7418.27,239.3
02/28/2010 12:00:00 AM,258199,51204,4249140000,1263984163,6884.79,245.89
03/31/2010 12:00:00 AM,258826,50865,4000815000,1179372175,6469.02,208.68
04/30/2010 12:00:00 AM,259745,50491,4135806000,1205919156,6670.74,222.36
05/31/2010 12:00:00 AM,260599,50053,4648947000,1339378188,7478.22,241.23
06/30/2010 12:00:00 AM,261689,49430,4911639000,1391626983,7871.52,262.38
07/31/2010 12:00:00 AM,263221,48483,5151319000,1423241681,8163.82,263.35
08/31/2010 12:00:00 AM,264782,47567,5568566000,1500555054,8777.93,283.16
09/30/2010 12:00:00 AM,266250,46408,5181375000,1354688738,8116.02,270.53
10/31/2010 12:00:00 AM,267977,45367,4494148000,1141250997,6997.64,225.73
11/30/2010 12:00:00 AM,269683,44224,4306312000,1059256656,6662.58,222.09
12/31/2010 12:00:00 AM,271389,43062,4672204000,1112026180,7182.44,231.69
01/31/2011 12:00:00 AM,273685,41595,4481110000,1021567334,6832.83,220.41
02/28/2011 12:00:00 AM,275082,40471,4647921000,1025726933,7045.13,251.61
03/31/2011 12:00:00 AM,276252,39560,4162598000,894142179.3,6279.1,202.55
04/30/2011 12:00:00 AM,277918,38472,4527284000,940063274.3,6788.96,226.3
05/31/2011 12:00:00 AM,279259,37568,4499513000,907961987.2,6714.62,216.6
06/30/2011 12:00:00 AM,280930,36232,4782979000,925302896.4,7088.14,236.27
07/31/2011 12:00:00 AM,282988,34827,5270169000,972890241.4,7632.14,246.2
08/31/2011 12:00:00 AM,284589,33436,6038858000,1064246630,8683.54,280.11
09/30/2011 12:00:00 AM,286136,32335,5843406000,990507309.5,8354.46,278.48
10/31/2011 12:00:00 AM,287573,31587,5633385000,928155974.3,8021.48,258.76
11/30/2011 12:00:00 AM,288955,30580,4731646000,751122500.1,6702.68,223.42
12/31/2011 12:00:00 AM,290666,29472,4707090000,715911165.1,6629.62,213.86
01/31/2012 12:00:00 AM,292112,28674,4797761000,706429377.7,6728.87,217.06
02/29/2012 12:00:00 AM,293618,27571,4756702000,669988033,6634.13,228.76
03/31/2012 12:00:00 AM,294787,26831,4467776000,609973800.7,6207.55,200.24
04/30/2012 12:00:00 AM,296208,25831,4561406000,596670304.6,6305.75,210.19
05/31/2012 12:00:00 AM,297496,24924,4902761000,616124663,6746.84,217.64
06/30/2012 12:00:00 AM,298877,24138,5547309000,672020319.3,7603.13,253.44
07/31/2012 12:00:00 AM,299900,23557,5438532000,640791088.6,7293.46,235.27
08/31/2012 12:00:00 AM,300852,22881,6357765000,725300252.1,8497.66,274.12
09/30/2012 12:00:00 AM,302204,22241,6922925000,764249190.6,9222.42,307.41
10/31/2012 12:00:00 AM,303462,21445,6065305000,642932883.2,8047.98,259.61
11/30/2012 12:00:00 AM,304907,20686,5366032000,546076695.3,7092.85,236.43
12/31/2012 12:00:00 AM,306387,19970,4988981000,487765231.1,6570.54,211.95
01/31/2013 12:00:00 AM,307223,19376,5116290000,484012761.3,6718.77,216.73
02/28/2013 12:00:00 AM,308506,18590,5202008000,470195046.7,6805.03,243.04
03/31/2013 12:00:00 AM,309092,17831,4763326000,412182453.3,6209.14,200.29
04/30/2013 12:00:00 AM,310105,16904,4743927000,387891240.1,6156.72,205.22
05/31/2013 12:00:00 AM,311624,15849,4967198000,378942833.8,6413.85,206.9
06/30/2013 12:00:00 AM,313024,15194,6394900000,465607001.1,8230.66,274.36
07/31/2013 12:00:00 AM,313960,14621,5718998000,399497403,7108.93,229.32
08/31/2013 12:00:00 AM,315477,13665,6099311000,396290782.6,7547.08,243.45
09/30/2013 12:00:00 AM,316932,12939,7005643000,429016388.9,8638.14,287.94
10/31/2013 12:00:00 AM,318110,12214,6200724000,357120066.7,7619.39,245.79
11/30/2013 12:00:00 AM,319007,11586,5349061000,291408436.6,6553.52,218.45
12/31/2013 12:00:00 AM,319848,11356,5058962000,269422846.8,6190.92,199.71
01/31/2014 12:00:00 AM,320601,11229,5257434000,276211208.3,6429.4,207.4
