Asset Name,Asset ID,Asset Type,Operating Status,Pool Participant Name,Pool Participant ID
"101A 1016 SR #1","101A","Sink","Retired","Kinder Morgan Canada Inc.","TPI"
"101U 1016 SR #2","101U","Sink","Retired","Kinder Morgan Canada Inc.","TPI"
"1E1A ENEP Ret #1","1E1A","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1C ENEP Ret #7","1E1C","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1E ENEP Ret #4","1E1E","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1F ENEP Ret #9","1E1F","Sink","Retired","1772387 Alberta Limited Partnership","ENEP"
"1E1L ENEP Ret #3","1E1L","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1P ENEP Ret #10","1E1P","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1R ENEP Ret #8","1E1R","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1U ENEP Ret #2","1E1U","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E1X ENEP Ret #6","1E1X","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E2A ENE2 Ret #1","1E2A","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2C ENE2 Ret #7","1E2C","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2E ENEP Ret #5","1E2E","Sink","Active","1772387 Alberta Limited Partnership","ENEP"
"1E2F ENE2 Ret #9","1E2F","Sink","Retired","1772387 Alberta Limited Partnership","ENE2"
"1E2L ENE2 Ret #3","1E2L","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2P ENE2 Ret #10","1E2P","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2R ENE2 Ret #8","1E2R","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2U ENE2 Ret #2","1E2U","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E2X ENE2 Ret #6","1E2X","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E3E ENE2 Ret #4","1E3E","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"1E4E ENE2 Ret #5","1E4E","Sink","Active","1772387 Alberta Limited Partnership","ENE2"
"301A 3070 Ret #1","301A","Sink","Retired","3070281 Nova Scotia Company","3070"
"301C 3070 Ret #5","301C","Sink","Retired","3070281 Nova Scotia Company","3070"
"301E 3070 Ret #3","301E","Sink","Retired","3070281 Nova Scotia Company","3070"
"301F 3070 Ret #7","301F","Sink","Retired","3070281 Nova Scotia Company","3070"
"301L 3070 Ret #8","301L","Sink","Retired","3070281 Nova Scotia Company","3070"
"301R 3070 Ret #9","301R","Sink","Retired","3070281 Nova Scotia Company","3070"
"301U 3070 Ret #4","301U","Sink","Retired","3070281 Nova Scotia Company","3070"
"301W 3070 Ret #6","301W","Sink","Retired","3070281 Nova Scotia Company","3070"
"301X 3070 Ret #2","301X","Sink","Retired","3070281 Nova Scotia Company","3070"
"307P 3070 Retail","307P","Sink","Retired","3070281 Nova Scotia Company","3070"
"42G1 4285","42G1","Source","Retired","514285 AB Ltd.","4285"
"941A 9491 SR1","941A","Sink","Active","Campus Energy Partners LP","9496"
"941C 9496 R8","941C","Sink","Active","Campus Energy Partners LP","9496"
"941E 9491 SR 3","941E","Sink","Active","Campus Energy Partners LP","9496"
"941F 9496 Ret #9","941F","Sink","Retired","AltaGas Ltd.","9496"
"941L 9491 SR 5","941L","Sink","Active","Campus Energy Partners LP","9496"
"941P 9496 R7","941P","Sink","Active","Campus Energy Partners LP","9496"
"941R 9491 SR 6","941R","Sink","Active","Campus Energy Partners LP","9496"
"941U 9491 SR 2","941U","Sink","Active","Campus Energy Partners LP","9496"
"941X 9491 SR 4","941X","Sink","Active","Campus Energy Partners LP","9496"
"951A 9558 Ret #1","951A","Sink","Active","Campus Energy Partners LP","9558"
"951E 9558 Ret #4","951E","Sink","Active","Campus Energy Partners LP","9558"
"951L 9558 Ret #6","951L","Sink","Active","Campus Energy Partners LP","9558"
"951R 9558 Ret #5","951R","Sink","Active","Campus Energy Partners LP","9558"
"951U 9558 Ret #2","951U","Sink","Active","Campus Energy Partners LP","9558"
"951X 9558 Ret #3","951X","Sink","Active","Campus Energy Partners LP","9558"
"961A 9670 Ret #1","961A","Sink","Active","ENMAX Energy Corporation","9670"
"961C 9670 Ret #8","961C","Sink","Active","ENMAX Energy Corporation","9670"
"961E 9670 Ret #3","961E","Sink","Active","ENMAX Energy Corporation","9670"
"961F 9670 Ret #10","961F","Sink","Retired","ENMAX Energy Corporation","9670"
"961L 9670 Ret #7","961L","Sink","Active","ENMAX Energy Corporation","9670"
"961P 9670 Ret #5","961P","Sink","Active","ENMAX Energy Corporation","9670"
"961R 9670 Ret #6","961R","Sink","Active","ENMAX Energy Corporation","9670"
"961U 9670 Ret #4","961U","Sink","Active","ENMAX Energy Corporation","9670"
"961W 9670 Ret #9","961W","Sink","Retired","Enmax Commercial Energy Marketing Inc.","9670"
"961X 9670 Ret #2","961X","Sink","Active","ENMAX Energy Corporation","9670"
"981A 9829 Ret #1","981A","Sink","Active","Campus Energy Partners LP","9829"
"981E 9829 Ret #3","981E","Sink","Active","Campus Energy Partners LP","9829"
"981F 9829 Ret #7","981F","Sink","Retired","AltaGas Ltd.","IQP"
