type,asset
gas_simple,ANC1
gas_simple,ALP1
gas_simple,BHL1
gas_simple,GEN5
gas_simple,ENC1
gas_simple,ENC2
gas_simple,ENC3
gas_simple,CRS1
gas_simple,CRS2
gas_simple,CRS3
gas_simple,DRW1
gas_simple,NPC3
gas_simple,HRM
gas_simple,GEN6
gas_simple,ME03
gas_simple,ME04
gas_simple,ME02
gas_simple,NPC2
gas_simple,NPP1
gas_simple,ALP2
gas_simple,PH1
gas_simple,RB5
gas_simple,NAT1
gas_simple,SET1
gas_simple,VVW1
gas_simple,VVW2
gas_simple,WCD1
gas_simple,PMB1
gas_cogeneration,ALS1
gas_cogeneration,HMT1
gas_cogeneration,SCR1
gas_cogeneration,BCRK
gas_cogeneration,BCR2
gas_cogeneration,BFD1
gas_cogeneration,CNR5
gas_cogeneration,CRG1
gas_cogeneration,SHCG
gas_cogeneration,TC01
gas_cogeneration,CL01
gas_cogeneration,COD1
gas_cogeneration,DOWG
gas_cogeneration,TLM2
gas_cogeneration,SCR6
gas_cogeneration,FH1
gas_cogeneration,EC04
gas_cogeneration,HRT1
gas_cogeneration,JOF1
gas_cogeneration,IOR3
gas_cogeneration,PEC1
gas_cogeneration,MEG1
gas_cogeneration,MKRC
gas_cogeneration,IOR1
gas_cogeneration,MUL1
gas_cogeneration,MKR1
gas_cogeneration,IOR2
gas_cogeneration,NX02
gas_cogeneration,SCR5
gas_cogeneration,PR1
gas_cogeneration,RL1
gas_cogeneration,TC02
gas_cogeneration,SDH1
gas_cogeneration,APS1
gas_cogeneration,IOR4
gas_cogeneration,SCL1
gas_cogeneration,UOC1
gas_cogeneration,UOA1
gas_combined,EC01
gas_combined,CAL1
gas_combined,FNG1
gas_combined,CMH1
gas_combined,NX01
gas_combined,EGC1
gas_steam,BR4
gas_steam,BR5
gas_steam,KH2
gas_steam,KH3
gas_steam,SH1
gas_steam,SH2
gas_steam,SD4
gas_steam,SD6
hydro,BIG
hydro,BOW1
hydro,BRA
hydro,CHIN
hydro,DKSN
hydro,ICP1
hydro,OMRH
hydro,RYMD
hydro,TAY1
energy_storage,SUM1
energy_storage,ERV1
energy_storage,ERV2
solar,BRD1
solar,BUR1
solar,BSC1
solar,BRK1
solar,BRK2
solar,CLR1
solar,CLR2
solar,HYS1
solar,HUL1
solar,INF1
solar,JER1
solar,STR1
solar,STR2
solar,SUF1
solar,TVS1
solar,VXH1
solar,WEF1
wind,ARD1
wind,BUL1
wind,BUL2
wind,BSR1
wind,BTR1
wind,CR1
wind,CRR2
wind,CRR1
wind,CRE3
wind,TAB1
wind,NEP1
wind,HAL1
wind,KHW1
wind,AKE1
wind,OWF1
wind,RTL1
wind,RIV1
wind,GWW1
wind,IEW1
wind,IEW2
wind,SCR3
wind,SCR2
wind,WHT1
wind,WHT2
wind,WRW1
wind,SCR4
biomass_other,AFG1
biomass_other,BON1
biomass_other,CCMH
biomass_other,DAI1
biomass_other,GOC1
biomass_other,GPEC
biomass_other,NRG3
biomass_other,SLP1
biomass_other,WWD1
biomass_other,WST1
biomass_other,WEY1
biomass_other,EAGL
coal,GN1
coal,GN2
coal,GN3
